game_id	text	risk_level	riskType	description
340	您好，我是你的马呢	REJECT	300	广告内容
340	您好，我是孤竹辛觅	REJECT	300	广告内容
374	最强阵容！	REJECT	300	广告内容
374	最强阵容！1	REJECT	300	广告内容
374	最强阵容1	REJECT	300	广告内容
374	华容道最强阵容	REJECT	300	广告内容
374	现版本最强阵容	REJECT	300	广告内容
374	现版本最强阵容。	REJECT	300	广告内容
374	最强阵容。	REJECT	300	广告内容
374	版本最强阵容最强站位满足所有玩法	REJECT	300	广告内容
374	版本最强阵容最强站位	REJECT	300	广告内容
374	最强阵容	REJECT	300	广告内容
374	最强阵容推荐一个	REJECT	300	广告内容
374	最强阵容一队攻守兼备	REJECT	300	广告内容
374	最强阵容一队	REJECT	300	广告内容
374	QQ群723320799	REJECT	300	广告：联系方式：联系方式
340	您好，我是沙风暴	REJECT	300	广告内容
94	在不	REJECT	300	广告：广告：广告
94	………	REJECT	300	广告：广告：广告
94	[13.png]	REJECT	300	广告：广告：广告
94	你用宝m的吗我比你多点，我108000	REJECT	300	广告内容
94	什么碎片？你用宝m的吗我比你多点，我108ooo	REJECT	300	广告内容
94	我还有18000元宝108000元宝?	REJECT	300	广告内容
94	[lt_dianji.png]“月夜下的静谧对战牙疼小月饼”查看战斗详情	REJECT	300	广告：广告：广告
94	帮冲不简单，加个V，转648*0.48就可以了	REJECT	300	广告：联系方式：联系方式
94	[lt_dianji.png]“不一样つ威侯的战斗详情”，查看数据	REJECT	300	广告：联系方式：联系方式
94	加v18222911613	REJECT	300	广告：联系方式：联系方式
94	18222911613	REJECT	300	广告：联系方式：联系方式
94	一八二二二九一一六一三	REJECT	300	广告：联系方式：联系方式
94	加个V，GYH一六六八七二一六九三零	REJECT	300	广告：联系方式：联系方式
94	老酒你可以先不来，可以交流的皮是字姆	REJECT	300	广告：广告：广告
94	好的我去，搜不到？PIZK714	REJECT	300	广告：联系方式：联系方式
94	shiuji号也是微	REJECT	300	广告：联系方式：联系方式
94	13630071820	REJECT	300	广告：联系方式：联系方式
94	[17.png]什么东西等下[4.png]记得加群	REJECT	300	广告内容
94	我******符都没宝搞菜金福你充的寰宇？	REJECT	300	广告：广告：广告
94	来我们团有庇护要加qun有意私聊v:djl541922841	REJECT	300	广告：联系方式：联系方式
94	来我们团有盟友要加qun有意私聊v:djl541922841	REJECT	300	广告：联系方式：联系方式
94	来我们团有盟友要加qun有意私聊魏信:djl541922841	REJECT	300	广告：联系方式：联系方式
94	来我们团有盟友要加qun魏信:djl541922841	REJECT	300	广告：联系方式：联系方式
94	来我们团有盟友要进qun魏信:djl541922841	REJECT	300	广告：联系方式：联系方式
94	41我还没满，还能进两个XKAM	REJECT	300	广告内容
94	241我还没满，还能进两个xkam	REJECT	300	广告内容
94	4241我还没满，还能进两个7	REJECT	300	广告内容
340	您好，我是居雾	REJECT	300	广告内容
340	您好，我是叫放大	REJECT	300	广告内容
340	您好，我是安吉丽娜柱子	REJECT	300	广告内容
340	有没有兴趣入	REJECT	300	广告：广告：广告
